codigo,titulo,autor,fecha_publicacion,precio
195153448,Classical Mythology,Mark P. O. Morford,2002,30.45
2005018,Clara Callan,Richard Bruce Wright,2001,8.02
60973129,Decision in Normandy,Carlo D'Este,1991,3.83
374157065,Flu: The Story of the Great Influenza Pandemic of 1918 and the Search for the Virus That Caused It,Gina Bari Kolata,1999,14.91
393045218,The Mummies of Urumchi,E. J. W. Barber,1999,10.05
399135782,The Kitchen God's Wife,Amy Tan,1991,29.45
425176428,What If?: The World's Foremost Military Historians Imagine What Might Have Been,Robert Cowley,2000,54.86
671870432,PLEADING GUILTY,Scott Turow,1993,7.69
679425608,Under the Black Flag: The Romance and the Reality of Life Among the Pirates,David Cordingly,1996,13.76
074322678X,Where You'll Find Me: And Other Stories,Ann Beattie,2002,7.86
771074670,Nights Below Station Street,David Adams Richards,1988,7.13
080652121X,Hitler's Secret Bankers: The Myth of Swiss Neutrality During the Holocaust,Adam Lebor,2000,7.1
887841740,The Middle Stories,Sheila Heti,2004,17.16
1552041778,Jane Doe,R. J. Kaiser,1999,11.71
1558746218,A Second Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series),Jack Canfield,1998,15.33
1567407781,The Witchfinder (Amos Walker Mystery Series),Loren D. Estleman,1998,16.26
1575663937,More Cunning Than Man: A Social History of Rats and Man,Robert Hendrickson,1999,8.75
1881320189,Goodbye to the Buttermilk Sky,Julia Oliver,1994,10.57
440234743,The Testament,John Grisham,1999,50.55
452264464,Beloved (Plume Contemporary Fiction),Toni Morrison,1994,27.44
609804618,Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source,The Onion,1999,5.97
1841721522,New Vegetarian: Bold and Beautiful Recipes for Every Occasion,Celia Brooks Brown,2001,3.6
1879384493,If I'd Known Then What I Know Now: Why Not Learn from the Mistakes of Others? : You Can't Afford to Make Them All Yourself,J. R. Parrish,2003,25.86
61076031,Mary-Kate &amp; Ashley Switching Goals (Mary-Kate and Ashley Starring in),Mary-Kate &amp; Ashley Olsen,2000,4.5
439095026,Tell Me This Isn't Happening,Robynn Clairday,1999,19.24
689821166,Flood : Mississippi 1927,Kathleen Duey,1998,4.8
971880107,Wild Animus,Rich Shapero,2004,5.77
345402871,Airframe,Michael Crichton,1997,1.64
345417623,Timeline,MICHAEL CRICHTON,2000,16.78
684823802,OUT OF THE SILENT PLANET,C.S. Lewis,1996,11.75
375759778,Prague : A Novel,ARTHUR PHILLIPS,2003,8.83
425163091,Chocolate Jesus,Stephan Jaramillo,1998,8.29
3404921038,Wie Barney es sieht.,Mordecai Richler,2002,12.43
3442353866,Der Fluch der Kaiserin. Ein Richter- Di- Roman.,Eleanor Cooney,2001,10.72
3442410665,Sturmzeit. Roman.,Charlotte Link,1991,16.05
3442446937,Tage der Unschuld.,Richard North Patterson,2000,8.05
375406328,Lying Awake,Mark Salzman,2000,45.89
446310786,To Kill a Mockingbird,Harper Lee,1988,8.17
449005615,Seabiscuit: An American Legend,LAURA HILLENBRAND,2002,8.16
60168013,Pigs in Heaven,Barbara Kingsolver,1993,16.59
038078243X,Miss Zukas and the Raven's Dance,Jo Dereske,1996,22.27
055321215X,Pride and Prejudice,Jane Austen,1983,38.1
067176537X,The Therapeutic Touch: How to Use Your Hands to Help or to Heal,Dolores Krieger,1979,11.32
61099686,Downtown,Anne Rivers Siddons,1995,3.03
553582909,Icebound,Dean R. Koontz,2000,3.93
671888587,I'll Be Seeing You,Mary Higgins Clark,1994,10.33
553582747,From the Corner of His Eye,Dean Koontz,2001,8.18
425182908,Isle of Dogs,Patricia Cornwell,2002,46.84
042518630X,Purity in Death,J.D. Robb,2002,43.33
440223571,This Year It Will Be Different: And Other Stories,Maeve Binchy,1997,8.69
812523873,Proxies,Laura J. Mixon,1999,6.34
842342702,Left Behind: A Novel of the Earth's Last Days (Left Behind #1),Tim Lahaye,2000,19.32
440225701,The Street Lawyer,JOHN GRISHAM,1999,1.5
60914068,"Love, Medicine and Miracles",M.D. Bernie S. Siegel,1988,15.03
156047624,All the King's Men,Robert Penn Warren,1982,10.24
245542957,Pacific Northwest,Hans Johannes Hoefer,1985,4.29
380715899,A Soldier of the Great War,Mark Helprin,1992,9.46
553280333,Getting Well Again,O. Carol Simonton Md,1992,6.0
961769947,Northwest Wines and Wineries,Chuck Hill,1993,5.93
964778319,An Atmosphere of Eternity: Stories of India,David Iglehart,2002,3.68
671623249,LONESOME DOVE,Larry McMurtry,1986,14.25
679810307,Shabanu: Daughter of the Wind (Border Trilogy),SUZANNE FISHER STAPLES,1991,1.78
679865691,Haveli (Laurel Leaf Books),SUZANNE FISHER STAPLES,1995,3.39
2070423204,Lieux dits,Michel Tournier,2002,6.59
345260317,The Dragons of Eden: Speculations on the Evolution of Human Intelligence,Carl Sagan,1978,4.84
394743741,The yawning heights,Aleksandr Zinoviev,1980,10.62
042511774X,Breathing Lessons,Anne Tyler,1994,10.83
804106304,The Joy Luck Club,Amy Tan,1994,6.34
1853262404,Heart of Darkness (Wordsworth Collection),Joseph Conrad,1998,8.89
312970242,The Angel Is Near,Deepak Chopra,2000,18.65
1853260053,Tess of the D'Urbervilles (Wordsworth Classics),Thomas Hardy,1997,2.61
1414035004,The Adventures of Drew and Ellie: The Magical Dress,Charles Noland,2003,12.77
60938412,The Accidental Virgin,Valerie Frankel,2003,6.53
140067477,The Tao of Pooh,Benjamin Hoff,1983,1.29
345465083,Seabiscuit,LAURA HILLENBRAND,2003,30.21
451625889,The Prince,Niccolo Machiavelli,1952,10.8
